iid;title;year;Adventure;Fantasy;Children;Animation;Comedy;Romance;Drama;Thriller;Action;Crime;Horror;Mystery;Sci-Fi;War;Musical;Documentary;IMAX;Western;Film-Noir;(no genres listed);directors;actors;writers
20;Money Train;1995;False;False;False;False;True;False;True;True;True;True;False;False;False;False;False;False;False;False;False;False;Joseph Ruben;Wesley Snipes,Woody Harrelson,Jennifer Lopez;Doug Richardson,David Loughery
21;Get Shorty;1995;False;False;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;Barry Sonnenfeld;Gene Hackman,Rene Russo,Danny DeVito;Elmore Leonard,Scott Frank
22;Copycat;1995;False;False;False;False;False;False;True;True;False;True;True;True;False;False;False;False;False;False;False;False;Jon Amiel;Sigourney Weaver,Holly Hunter,Dermot Mulroney;Ann Biderman,David Madsen
23;Assassins;1995;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;Richard Donner;Sylvester Stallone,Antonio Banderas,Julianne Moore;Lilly Wachowski,Lana Wachowski,Brian Helgeland
24;Powder;1995;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;Victor Salva;Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen;Victor Salva
25;Leaving Las Vegas;1995;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Mike Figgis;Nicolas Cage,Elisabeth Shue,Julian Sands;John O'Brien,Mike Figgis
26;Othello;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Oliver Parker;Laurence Fishburne,Kenneth Branagh,Irène Jacob;Oliver Parker,William Shakespeare
27;Now and Then;1995;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Lesli Linka Glatter;Christina Ricci,Demi Moore,Rosie O'Donnell;I. Marlene King
28;Persuasion;1995;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Adrian Shergold;Sally Hawkins,Alice Krige,Anthony Head,Julia Davis;Jane Austen,Simon Burke
29;City of Lost Children;1995;True;True;False;False;False;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;Misha Vertkin;Ana Cilas,Sasha Desouza-Willock,Yohanna Ephrem;Brid Arnstein
30;Shanghai Triad;1995;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
31;Dangerous Minds;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;John N. Smith;Michelle Pfeiffer,George Dzundza,Courtney B. Vance;LouAnne Johnson,Ronald Bass
32;Twelve Monkeys;1995;False;False;False;False;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;Terry Gilliam;Bruce Willis,Madeleine Stowe,Brad Pitt;Chris Marker,David Webb Peoples,Janet Peoples
34;Babe;1995;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Chris Noonan;James Cromwell,Magda Szubanski,Christine Cavanaugh;Dick King-Smith,George Miller,Chris Noonan
36;Dead Man Walking;1995;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;Tim Robbins;Susan Sarandon,Sean Penn,Robert Prosky;Helen Prejean,Tim Robbins
38;It Takes Two;1995;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Andy Tennant;Kirstie Alley,Steve Guttenberg,Mary-Kate Olsen;Deborah Dean Davis
39;Clueless;1995;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Amy Heckerling;Alicia Silverstone,Stacey Dash,Brittany Murphy;Amy Heckerling
40;Cry, the Beloved Country;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Darrell Roodt;Richard Harris,James Earl Jones,Vusi Kunene;Ronald Harwood,Alan Paton
41;Richard III;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;Richard Loncraine;Ian McKellen,Annette Bening,Christopher Bowen;Ian McKellen,Richard Loncraine,Richard Eyre
42;Dead Presidents;1995;False;False;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;Albert Hughes,Allen Hughes;Larenz Tate,Keith David,Chris Tucker;Allen Hughes,Albert Hughes,Michael Henry Brown
43;Restoration;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Michael Hoffman;Robert Downey Jr.,Sam Neill,David Thewlis;Rose Tremain,Rupert Walters
44;Mortal Kombat;1995;True;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;Simon McQuoid;Lewis Tan,Jessica McNamee,Josh Lawson;Greg Russo,Dave Callaham,Oren Uziel
45;To Die For;1995;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;Gus Van Sant;Nicole Kidman,Matt Dillon,Joaquin Phoenix;Joyce Maynard,Buck Henry
46;How to Make an American Quilt;1995;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Jocelyn Moorhouse;Winona Ryder,Ellen Burstyn,Anne Bancroft;Whitney Otto,Jane Anderson
47;Seven;1995;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;Gabriele Muccino;Will Smith,Rosario Dawson,Woody Harrelson;Grant Nieporte
48;Pocahontas;1995;False;False;True;True;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;Mike Gabriel,Eric Goldberg;Mel Gibson,Linda Hunt,Christian Bale;Carl Binder,Susannah Grant,Philip LaZebnik
49;When Night Is Falling;1995;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Patricia Rozema;Pascale Bussières,Rachael Crawford,Henry Czerny;Patricia Rozema
50;Usual Suspects;1995;False;False;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;Bryan Singer;Kevin Spacey,Gabriel Byrne,Chazz Palminteri;Christopher McQuarrie
52;Mighty Aphrodite;1995;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Woody Allen;Woody Allen,Mira Sorvino,Pamela Blair;Woody Allen
53;Lamerica;1994;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Gianni Amelio;Enrico Lo Verso,Michele Placido,Piro Milkani;Gianni Amelio,Andrea Porporati,Alessandro Sermoneta
54;Big Green;1995;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Holly Goldberg Sloan;Steve Guttenberg,Olivia d'Abo,Jay O. Sanders;Holly Goldberg Sloan
55;Georgia;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Ulu Grosbard;Jennifer Jason Leigh,Mare Winningham,Ted Levine;Barbara Turner
57;Home for the Holidays;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Jodie Foster;Holly Hunter,Anne Bancroft,Robert Downey Jr.;Chris Radant,W.D. Richter
58;Postman;1994;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;N/A;Mohan Babu,Soundarya,Raasi;N/A
60;Indian in the Cupboard;1995;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Frank Oz;Hal Scardino,Litefoot,Lindsay Crouse;Lynne Reid Banks,Melissa Mathison
61;Eye for an Eye;1996;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;John Schlesinger;Sally Field,Kiefer Sutherland,Ed Harris;Erika Holzer,Amanda Silver,Rick Jaffa
62;Mr. Holland's Opus;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Stephen Herek;Richard Dreyfuss,Glenne Headly,Jay Thomas;Patrick Sheane Duncan
63;Don't Be a Menace to South Central While Drinking Your Juice in the Hood;1996;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;Paris Barclay;Shawn Wayans,Marlon Wayans,Keenen Ivory Wayans;Shawn Wayans,Marlon Wayans,Phil Beauman
64;Two if by Sea;1996;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Bill Bennett;Sandra Bullock,Denis Leary,Stephen Dillane;Denis Leary,Mike Armstrong,Ann Lembeck
65;Bio-Dome;1996;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Jason Bloom;Pauly Shore,Stephen Baldwin,William Atherton;Adam Leff,Mitchell Peck,Jason Blumenthal
66;Lawnmower Man 2: Beyond Cyberspace;1996;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;Farhad Mann;Patrick Bergin,Matt Frewer,Austin O'Brien;Farhad Mann,Michael Miner
68;French Twist;1995;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Fred J. Lincoln;J.R. Carrington,Barbara Doll,Nick East,Gina Everett;N/A
69;Friday;1995;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;F. Gary Gray;Ice Cube,Chris Tucker,Nia Long;Ice Cube,DJ Pooh
70;From Dusk Till Dawn;1996;False;False;False;False;True;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;Robert Rodriguez;Harvey Keitel,George Clooney,Juliette Lewis;Robert Kurtzman,Quentin Tarantino
71;Fair Game;1995;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;Doug Liman;Naomi Watts,Sean Penn,Sonya Davison;Jez Butterworth,John-Henry Butterworth,Joseph Wilson
72;Kicking and Screaming;1995;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Noah Baumbach;Josh Hamilton,Eric Stoltz,Samuel Gould;Noah Baumbach,Bo Berkman
73;Misérables, Les;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;;;
74;Bed of Roses;1996;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Michael Goldenberg;Christian Slater,Mary Stuart Masterson,Pamela Adlon;Michael Goldenberg
75;Big Bully;1996;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Steve Miner;Rick Moranis,Tom Arnold,Julianne Phillips;Mark Steven Johnson
76;Screamers;1995;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;Christian Duguay;Peter Weller,Roy Dupuis,Jennifer Rubin;Philip K. Dick,Dan O'Bannon,Miguel Tejada-Flores
77;Nico Icon;1995;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;Susanne Ofteringer;Nico,Tina Aumont,Christian Päffgen;Susanne Ofteringer
78;Crossing Guard;1995;False;False;False;False;False;False;True;True;True;True;False;False;False;False;False;False;False;False;False;False;Jordana Lilly,Elko Weaver;Jordana Lilly,Elko Weaver;Jordana Lilly,Elko Weaver
79;Juror;1996;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;Brian Gibson;Demi Moore,Alec Baldwin,Joseph Gordon-Levitt;George Dawes Green,Ted Tally
80;White Balloon;1995;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
81;Things to Do in Denver When You're Dead;1995;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;Gary Fleder;Andy Garcia,Christopher Walken,Christopher Lloyd;Scott Rosenberg
82;Antonia's Line;1995;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
83;Once Upon a Time... When We Were Colored;1995;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Tim Reid;Al Freeman Jr.,Phylicia Rashad,Leon;Clifton L. Taulbert,Paul W. Cooper
85;Angels and Insects;1995;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Philip Haas;Mark Rylance,Kristin Scott Thomas,Patsy Kensit;A.S. Byatt,Belinda Haas,Philip Haas
86;White Squall;1996;True;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;Ridley Scott;Jeff Bridges,Caroline Goodall,John Savage;Charles Gieg Jr.,Felix Sutton,Todd Robinson
87;Dunston Checks In;1996;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Ken Kwapis;Jason Alexander,Faye Dunaway,Eric Lloyd;John Hopkins,Bruce Graham
88;Black Sheep;1996;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Jonathan King;Oliver Driver,Nathan Meister,Tammy Davis;Jonathan King
89;Nick of Time;1995;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;John Badham;Johnny Depp,Christopher Walken,Courtney Chase;Patrick Sheane Duncan
92;Mary Reilly;1996;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;Stephen Frears;Julia Roberts,John Malkovich,George Cole;Valerie Martin,Christopher Hampton
93;Vampire in Brooklyn;1995;False;False;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;Wes Craven;Eddie Murphy,Angela Bassett,Allen Payne;Eddie Murphy,Vernon Lynch,Charlie Murphy
94;Beautiful Girls;1996;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Ted Demme;Matt Dillon,Timothy Hutton,Noah Emmerich;Scott Rosenberg
95;Broken Arrow;1996;True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;John Woo;John Travolta,Christian Slater,Samantha Mathis;Graham Yost
96;In the Bleak Midwinter;1995;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Kenneth Branagh;Michael Maloney,Richard Briers,Hetta Charnley;Kenneth Branagh
97;Hate;1995;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;Gil Junger;Heath Ledger,Julia Stiles,Joseph Gordon-Levitt;Karen McCullah,Kirsten Smith,William Shakespeare
99;Heidi Fleiss: Hollywood Madam;1995;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;Nick Broomfield;Nick Broomfield,Nina Xining Zuo,Madam Alex,Corinne Bohrer;N/A
100;City Hall;1996;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;Harold Becker;Al Pacino,John Cusack,Bridget Fonda;Ken Lipper,Paul Schrader,Nicholas Pileggi
101;Bottle Rocket;1996;True;False;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;Wes Anderson;Luke Wilson,Owen Wilson,Ned Dowd;Owen Wilson,Wes Anderson
102;Mr. Wrong;1996;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Nick Castle;Ellen DeGeneres,Bill Pullman,Joan Cusack;Chris Matheson,Kerry Ehrin,Craig Munson
103;Unforgettable;1996;False;False;False;False;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;N/A;Poppy Montgomery,Dylan Walsh,James Hiroyuki Liao;John Bellucci,Ed Redlich
104;Happy Gilmore;1996;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Dennis Dugan;Adam Sandler,Christopher McDonald,Julie Bowen;Tim Herlihy,Adam Sandler
105;Bridges of Madison County;1995;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Clint Eastwood;Clint Eastwood,Meryl Streep,Annie Corley;Richard LaGravenese,Robert James Waller
106;Nobody Loves Me;1994;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Jeff Reichert,Farihah Zaman;N/A;Jeff Reichert,Farihah Zaman
107;Muppet Treasure Island;1996;True;False;True;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;Brian Henson,David Lane;Tim Curry,Billy Connolly,Jennifer Saunders;Robert Louis Stevenson,Jerry Juhl,Kirk R. Thatcher
108;Catwalk;1996;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;Robert Leacock;Christy Turlington,Azzedine Alaïa,Giorgio Armani;N/A
110;Braveheart;1995;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;False;False;False;False;Mel Gibson;Mel Gibson,Sophie Marceau,Patrick McGoohan;Randall Wallace
111;Taxi Driver;1976;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;Martin Scorsese;Robert De Niro,Jodie Foster,Cybill Shepherd;Paul Schrader
112;Rumble in the Bronx;1995;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;;
113;Before and After;1996;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;Barbet Schroeder;Meryl Streep,Liam Neeson,Edward Furlong;Rosellen Brown,Ted Tally
116;Anne Frank Remembered;1995;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;Jon Blair;Kenneth Branagh,Glenn Close,Janny Brandes-Brilslijper;Jon Blair,Anne Frank
117;Young Poisoner's Handbook;1995;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;Benjamin Ross;Hugh O'Conor,Antony Sher,Tobias Arnold;Jeff Rawle,Benjamin Ross
118;If Lucy Fell;1996;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Eric Schaeffer;Sarah Jessica Parker,Eric Schaeffer,Ben Stiller;Eric Schaeffer,Tony Spiridakis
119;Steal Big, Steal Little;1995;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Andrew Davis;Andy Garcia,Alan Arkin,Rachel Ticotin;Andrew Davis,Teresa Tucker-Davies,Frank Ray Perilli
121;Boys of St. Vincent;1992;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;John N. Smith;Henry Czerny,Johnny Morina,Brian Dooley,Philip Dinn;Des Walsh,John N. Smith,Sam Grana
122;Boomerang;1992;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Reginald Hudlin;Eddie Murphy,Robin Givens,Halle Berry;Barry W. Blaustein,David Sheffield,Eddie Murphy
123;Chungking Express;1994;False;False;False;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;;;
125;Flirting With Disaster;1996;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;David O. Russell;Ben Stiller,Patricia Arquette,Téa Leoni;David O. Russell
126;NeverEnding Story III;1994;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
128;Jupiter's Wife;1994;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;Michel Negroponte;Maggie Cogan,Katina Pendleton;Gabriel Morgan,Michel Negroponte
129;Pie in the Sky;1996;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;N/A;Richard Griffiths,Maggie Steed,Malcolm Sinclair;Andrew Payne
132;Jade;1995;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;William Friedkin;David Caruso,Linda Fiorentino,Chazz Palminteri;Joe Eszterhas
135;Down Periscope;1996;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;David S. Ward;Kelsey Grammer,Lauren Holly,Rob Schneider;Hugh Wilson,Andrew Kurtzman,Eliot Wald
137;Man of the Year;1995;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;Barry Levinson;Robin Williams,Laura Linney,Lewis Black;Barry Levinson
140;Up Close and Personal;1996;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Alexander Berkel;Osama bin Laden;N/A
141;Birdcage;1996;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Clare Unsworth;Rosemary Eason,Augusta McKie;N/A
144;Brothers McMullen;1995;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Edward Burns;Jack Mulcahy,Michael McGlone,Edward Burns;Edward Burns
145;Bad Boys;1995;False;False;False;False;True;False;True;True;True;True;False;False;False;False;False;False;False;False;False;False;Michael Bay;Will Smith,Martin Lawrence,Lisa Boyle;George Gallo,Michael Barrie,Jim Mulholland
146;Amazing Panda Adventure;1995;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Christopher Cain;Stephen Lang,Ryan Slater,Yi Ding;John Wilcox,Steven Alldredge,Jeff Rothberg
147;Basketball Diaries;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Alex Kvist;Alex Kvist,Ludvig Mellberg,Emil Svennas;N/A
148;Awfully Big Adventure;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Mike Newell;Hugh Grant,Alan Rickman,Georgina Cates;Beryl Bainbridge,Charles Wood
149;Amateur;1994;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;Hal Hartley;Isabelle Huppert,Martin Donovan,Elina Löwensohn;Hal Hartley
150;Apollo 13;1995;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;Ron Howard;Tom Hanks,Bill Paxton,Kevin Bacon;Jim Lovell,Jeffrey Kluger,William Broyles Jr.
151;Rob Roy;1995;False;False;False;False;False;True;True;False;True;False;False;False;False;True;False;False;False;False;False;False;Michael Caton-Jones;Liam Neeson,Jessica Lange,John Hurt;Alan Sharp
152;Addiction;1995;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;Jon Alpert,Joe Berlinger,Kate Davis,Liz Garbus,Chris Hegedus,Eugene Jarecki,Barbara Kopple,Albert Maysles,D.A. Pennebaker,Susan Raymond,Bruce Sinofsky;N/A;N/A
153;Batman Forever;1995;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;Joel Schumacher;Val Kilmer,Tommy Lee Jones,Jim Carrey;Bob Kane,Lee Batchler,Janet Scott Batchler
154;Beauty of the Day;1967;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Andrea Nobili;Mandy Bright,Kathy Anderson,Ellen Saint,Melissa Black;Andrea Nobili
155;Beyond Rangoon;1995;True;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;John Boorman;Patricia Arquette,U Aung Ko,Frances McDormand;Alex Lasker,Bill Rubenstein
156;Blue in the Face;1995;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Paul Auster,Wayne Wang,Harvey Wang;Harvey Keitel,Lou Reed,Michael J. Fox;Paul Auster,Wayne Wang
157;Canadian Bacon;1995;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;Michael Moore;John Candy,Alan Alda,Rhea Perlman;Michael Moore
158;Casper;1995;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Brad Silberling;Bill Pullman,Christina Ricci,Cathy Moriarty;Joseph Oriolo,Sherri Stoner,Deanna Oliver
159;Clockers;1995;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;Spike Lee;Harvey Keitel,John Turturro,Delroy Lindo;Richard Price,Spike Lee
160;Congo;1995;True;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;False;False;Frank Marshall;Laura Linney,Tim Curry,Dylan Walsh;Michael Crichton,John Patrick Shanley
